Temp , Taille , ex , num
(15:50:30.083) ,128 ,   2 ,    0
(15:50:30.091) ,214 ,   2 ,    1
(15:50:30.100) ,300 ,   2 ,    2
(15:50:30.107) ,386 ,   2 ,    3
(15:50:30.117) ,472 ,   2 ,    4
(15:50:30.124) ,558 ,   2 ,    5
(15:50:30.131) ,644 ,   2 ,    6
(15:50:30.140) ,730 ,   2 ,    7
(15:50:30.152) ,816 ,   2 ,    8
(15:50:30.162) ,902 ,   2 ,    9
(15:50:30.169) ,988 ,   2 ,   10
(15:50:30.182) ,1074 ,   2 ,   11
(15:50:30.189) ,1160 ,   2 ,   12
(15:50:30.204) ,1246 ,   2 ,   13
(15:50:30.217) ,1332 ,   2 ,   14
(15:50:30.237) ,1418 ,   2 ,   15
(15:50:30.244) ,1504 ,   2 ,   16
(15:50:30.252) ,1590 ,   2 ,   17
(15:50:30.269) ,1676 ,   2 ,   18
(15:50:30.285) ,1762 ,   2 ,   19
(15:50:30.294) ,1848 ,   2 ,   20
(15:50:30.301) ,1934 ,   2 ,   21
(15:50:30.308) ,2020 ,   2 ,   22
(15:50:30.321) ,2106 ,   2 ,   23
(15:50:30.328) ,2192 ,   2 ,   24
(15:50:30.334) ,2278 ,   2 ,   25
(15:50:30.341) ,2364 ,   2 ,   26
(15:50:30.352) ,2450 ,   2 ,   27
(15:50:30.363) ,2536 ,   2 ,   28
(15:50:30.371) ,2622 ,   2 ,   29
(15:50:30.383) ,2708 ,   2 ,   30
(15:50:30.396) ,2794 ,   2 ,   31
(15:50:30.413) ,2880 ,   2 ,   32
(15:50:30.427) ,2966 ,   2 ,   33
(15:50:30.438) ,3052 ,   2 ,   34
(15:50:30.446) ,3138 ,   2 ,   35
(15:50:30.455) ,3224 ,   2 ,   36
(15:50:30.463) ,3310 ,   2 ,   37
(15:50:30.469) ,3396 ,   2 ,   38
(15:50:30.479) ,3482 ,   2 ,   39
(15:50:30.486) ,3568 ,   2 ,   40
(15:50:30.491) ,3654 ,   2 ,   41
(15:50:30.498) ,3740 ,   2 ,   42
(15:50:30.507) ,3826 ,   2 ,   43
(15:50:30.515) ,3912 ,   2 ,   44
(15:50:30.525) ,3998 ,   2 ,   45
(15:50:30.534) ,4084 ,   2 ,   46
(15:50:30.542) ,4170 ,   2 ,   47
(15:50:30.553) ,4256 ,   2 ,   48
(15:50:30.562) ,4342 ,   2 ,   49
(15:50:30.574) ,4428 ,   2 ,   50
(15:50:30.586) ,4514 ,   2 ,   51
(15:50:30.600) ,4600 ,   2 ,   52
(15:50:30.607) ,4686 ,   2 ,   53
(15:50:30.612) ,4772 ,   2 ,   54
(15:50:30.621) ,4858 ,   2 ,   55
(15:50:30.626) ,4944 ,   2 ,   56
(15:50:30.636) ,5030 ,   2 ,   57
(15:50:30.650) ,5116 ,   2 ,   58
(15:50:30.660) ,5202 ,   2 ,   59
(15:50:30.668) ,5288 ,   2 ,   60
(15:50:30.679) ,5374 ,   2 ,   61
(15:50:30.692) ,5460 ,   2 ,   62
(15:50:30.703) ,5546 ,   2 ,   63
(15:50:30.713) ,5632 ,   2 ,   64
(15:50:30.722) ,5718 ,   2 ,   65
(15:50:30.730) ,5804 ,   2 ,   66
(15:50:30.738) ,5890 ,   2 ,   67
(15:50:30.743) ,5976 ,   2 ,   68
(15:50:30.751) ,6062 ,   2 ,   69
(15:50:30.757) ,6148 ,   2 ,   70
(15:50:30.766) ,6234 ,   2 ,   71
(15:50:30.773) ,6320 ,   2 ,   72
(15:50:30.783) ,6406 ,   2 ,   73
(15:50:30.789) ,6492 ,   2 ,   74
(15:50:30.794) ,6578 ,   2 ,   75
(15:50:30.806) ,6664 ,   2 ,   76
(15:50:30.811) ,6750 ,   2 ,   77
(15:50:30.816) ,6836 ,   2 ,   78
(15:50:30.824) ,6922 ,   2 ,   79
(15:50:30.830) ,7008 ,   2 ,   80
(15:50:30.840) ,7094 ,   2 ,   81
(15:50:30.850) ,7180 ,   2 ,   82
(15:50:30.857) ,7266 ,   2 ,   83
(15:50:30.865) ,7352 ,   2 ,   84
(15:50:30.877) ,7438 ,   2 ,   85
(15:50:30.889) ,7524 ,   2 ,   86
(15:50:30.894) ,7610 ,   2 ,   87
(15:50:30.904) ,7696 ,   2 ,   88
(15:50:30.913) ,7782 ,   2 ,   89
(15:50:30.921) ,7868 ,   2 ,   90
(15:50:30.932) ,7954 ,   2 ,   91
(15:50:30.940) ,8040 ,   2 ,   92
(15:50:30.946) ,8126 ,   2 ,   93
(15:50:30.950) ,8212 ,   2 ,   94
(15:50:30.955) ,8298 ,   2 ,   95
(15:50:30.969) ,8384 ,   2 ,   96
(15:50:30.975) ,8470 ,   2 ,   97
(15:50:30.982) ,8556 ,   2 ,   98
(15:50:30.986) ,8642 ,   2 ,   99
(15:50:30.991) ,8728 ,   2 ,  100
(15:50:31.001) ,8814 ,   2 ,  101
(15:50:31.012) ,8900 ,   2 ,  102
(15:50:31.018) ,8986 ,   2 ,  103
(15:50:31.023) ,9072 ,   2 ,  104
(15:50:31.027) ,9158 ,   2 ,  105
(15:50:31.034) ,9244 ,   2 ,  106
(15:50:31.041) ,9330 ,   2 ,  107
(15:50:31.054) ,9416 ,   2 ,  108
(15:50:31.062) ,9502 ,   2 ,  109
(15:50:31.068) ,9588 ,   2 ,  110
(15:50:31.075) ,9674 ,   2 ,  111
(15:50:31.080) ,9760 ,   2 ,  112
(15:50:31.086) ,9846 ,   2 ,  113
(15:50:31.095) ,9932 ,   2 ,  114
(15:50:31.109) , 10018 ,   2 ,  115
(15:50:31.112) , 10104 ,   2 ,  116
(15:50:31.118) , 10190 ,   2 ,  117
(15:50:31.123) , 10276 ,   2 ,  118
(15:50:31.132) , 10362 ,   2 ,  119
(15:50:31.143) , 10448 ,   2 ,  120
(15:50:31.149) , 10534 ,   2 ,  121
(15:50:31.157) , 10620 ,   2 ,  122
(15:50:31.165) , 10706 ,   2 ,  123
(15:50:31.171) , 10792 ,   2 ,  124
(15:50:31.179) , 10878 ,   2 ,  125
(15:50:31.195) , 10964 ,   2 ,  126
(15:50:31.205) , 11050 ,   2 ,  127
(15:50:31.213) , 11136 ,   2 ,  128
(15:50:31.218) , 11222 ,   2 ,  129
(15:50:31.223) , 11308 ,   2 ,  130
(15:50:31.232) , 11394 ,   2 ,  131
(15:50:31.238) , 11480 ,   2 ,  132
(15:50:31.259) , 11566 ,   2 ,  133
